Q1,Q2,Q3,Q4,Q5,Q29,Q30,Q31_1,Q31_2,Q31_3,Q32_1,Q32_2,Q33
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,UCA,0,,5.0,5.0,5.0,6.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Polytech,0,,5.0,5.0,3.0,11.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Polytech,1,0,5.0,8.0,6.0,10.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,Polytech Clermont,0,,5.0,6.0,4.0,7.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,,0,,5.0,5.0,1.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,,0,,5.0,7.0,6.0,9.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Polytech Clermont,1,0,5.0,5.0,5.0,5.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Polytech Clermont,0,,5.0,5.0,5.0,5.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,SIGMA,0,,5.0,10.0,7.0,10.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,1,0,5.0,5.0,1.0,10.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,,0,,5.0,6.0,3.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Polytech Clermont-Ferrand,0,,5.0,8.0,6.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,0,,5.0,7.0,6.0,10.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Paris 2,1,0,5.0,6.0,2.0,10.0,6.0,J’ai installé une application de traçage covid mais pas française. C’était pour un voyage.
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Humanities,,0,,5.0,8.0,2.0,8.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,,1,0,5.0,5.0,5.0,5.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,IFMEM,0,,5.0,5.0,7.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Ecole de Droit,1,0,5.0,7.0,6.0,7.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Gender No-conforming,Yes,Medical and health science,Université Grenoble Alpes Annexe de Valence,1,1,5.0,8.0,4.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université d'AvigNo,0,,5.0,6.0,4.0,11.0,5.0,Ces applications de traçage sont une menace pour la liberté d’autrui
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université d'AvigNo,0,,5.0,6.0,6.0,9.0,3.0,Ces applications de traçage Covid-19 semblent trop intrusives dans la vie des citoyens. Cela ressemble à un autre moyen de contrôler et surveiller la population. Ça rappelle l’ouvrage « 1984 » Georges
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Université d'AvigNo,0,,5.0,10.0,3.0,6.0,2.0,
